date,country,os,vertical,creative_format,cpm,cpi,ftd_rate,cftd,avg_user_spend,gross_spend_usd,spend_share,unique_bundle_count,,,,,,WITH main as (WITH fact_dsp_creative AS (
2024-11-09,USA,IOS,RMG,Playables,68.0720425,11.53877789,0,,127.6119418,6677.71067,0.544413472,4,,,,,,"--AND f.campaign.country IN ('GBR', 'USA','ESP','AUS','BRA','CAN','PHL','DEU')"
2025-01-15,USA,IOS,Sportsbetting,Video,10.691716,87.33590227,0.05208333333,230.0526026,375.3119412,19658.48495,0.770237571,3,,,,,,AND f.campaign.country IN ('USA')
2025-02-28,USA,ANDROID,RMG,Video,78.02476615,20.46959201,0,,171.7520954,115123.3832,0.93050008,27,,,,,,--AND (
2025-03-20,USA,ANDROID,RMG,Video,80.65296168,22.50183614,0.07614942529,1740.457033,279.1948651,110042.0174,0.920248977,31,,,,,,-- fact_dsp_creative.campaign.goal <> 'OPTIMIZE_CPA_FOR_APP_RE'
2025-07-01,USA,ANDROID,RMG,Video,69.40496418,21.83976227,0.04214559387,807.563969,219.5677578,59258.93915,0.931037976,22,,,,,,-- AND fact_dsp_creative.campaign.goal <> 'OPTIMIZE_REATTRIBUTION_FOR_APP'
2024-08-21,USA,IOS,RMG,Video,37.9260974,29.54659165,0.1039278752,1489.05936,414.734241,171757.7276,0.828054139,25,,,,,,-- AND fact_dsp_creative.campaign.goal <> 'OPTIMIZE_ROAS_FOR_APP_RE'
2024-09-12,USA,ANDROID,RMG,Video,75.97602876,21.83224964,0.06704980843,858.2281372,288.9022028,127290.3147,0.960401363,33,,,,,,-- AND fact_dsp_creative.campaign.goal <> 'OPTIMIZE_CPC_FOR_APP_RE'
2024-10-20,USA,ANDROID,RMG,Video,93.86602029,18.45696959,0.009615384615,1563.14242,249.8788781,111543.7196,0.930073964,28,,,,,,--AND fact_dsp_creative.campaign.goal IS NULL
2024-10-24,USA,ANDROID,RMG,Video,93.47235245,13.81288317,0,,178.0557342,110857.4643,0.935437643,31,,,,,,--)
2024-11-03,USA,IOS,RMG,Statics,0.437946083,21.12024745,0.04128440367,119.2922674,168.009104,47418.91628,0.513868683,12,,,,,,GROUP BY
2025-02-14,USA,IOS,RMG,Video,43.19780223,30.95818446,0.134644635,439.8112646,336.3934312,208866.5696,0.771385301,26,,,,,,"1, 2, 3, 4, 5, 6"
2025-05-14,USA,IOS,RMG,Video,38.44336724,41.72851957,0.1202136752,619.674586,354.1236263,205944.5539,0.818941174,29,,,,,,ORDER BY
2025-06-12,USA,ANDROID,RMG,Video,60.97498559,25.3190103,0,,282.3108194,73881.35541,0.971119916,22,,,,,,1 DESC)
2025-08-27,USA,IOS,Sportsbetting,Statics,0.98071325,71.72305428,0.01923076923,598.1387778,1350.634632,25730.15758,0.554351033,4,,,,,,","
2024-09-14,USA,ANDROID,RMG,Video,83.80911194,20.41168405,0.03819444444,1922.845853,294.2109391,132151.8145,0.945117859,35,,,,,,first_purchase as (
2024-10-05,USA,ANDROID,RMG,Playables,160.0209054,18.97665102,0.0243902439,998.2650784,287.2529419,14137.96447,0.483965643,7,,,,,,"Select date(timestamp_utc) AS date,"
2024-10-22,USA,ANDROID,RMG,Video,88.53463318,24.42627936,0.04265873016,2021.511056,341.811083,106843.967,0.928884827,28,,,,,,"campaign.country AS country,"
2024-11-20,USA,ANDROID,RMG,Video,88.93185,22.62437419,0.04377104377,1872.835101,310.0458932,121577.1566,0.895444246,33,,,,,,"campaign.os AS os,"
2025-01-13,USA,IOS,RMG,Playables,38.718342,28.47518449,0,,534.21626,29589.95402,0.312838492,5,,,,,,"product.app_market_bundle as app_market_bundle,"
2025-01-17,USA,IOS,RMG,Video,36.26683777,36.4366703,0.1238848422,770.4706282,711.9920577,211483.5763,0.759684411,26,,,,,,"case when a.rmg_segment = 'Sports Betting' then 'Sportsbetting' else 'RMG' end as vertical,"
2025-03-18,USA,IOS,RMG,Video,50.69459624,31.65534021,0.1481371939,398.0663817,284.2076023,206261.9398,0.753234156,25,,,,,,"case when creative.format IN ('nv', 'vi', 'vb')"
2025-06-25,USA,IOS,RMG,Video,59.87055495,42.40483892,0.1154401154,1301.744904,473.6530705,135533.9244,0.816330765,20,,,,,,THEN 'Video'
2025-06-26,USA,IOS,RMG,Video,55.00904425,47.47744763,0.09782608696,2327.039486,673.6875629,141030.2559,0.853743578,20,,,,,,"WHEN creative.format IN ('db', 'ib', 'di', 'ii', 'ni', 'nl')"
