period_start,period_end,os,sub_genre,state,n_apps,cpm_bm,ctr_bm,ipm_bm,cvr_bm,i2a_bm,cpi_bm,cpftd_bm,cohort_imp,cohort_clk,cohort_ins,cohort_act,cohort_spend,cpm_weighted,cpi_weighted,cpftd_weighted,total_spend_all_states_ytd,state_spend_share
2025-01-01,2025-09-01,IOS,Sportsbetting,AZ,7,$0.95,0.57%,0.04629702558,0.0005427824035,0.1492063492,$16.31,$133.05,184597235,5161382,5982,40633,"$390,618.29",$2.12,$65.30,$9.61,"$5,663,405.21",6.90%
2025-01-01,2025-09-01,IOS,Sportsbetting,OH,7,$0.41,0.41%,0.02263594838,0.002200736336,1.034258632,$24.56,$46.73,199489074,4233443,9737,71989,"$325,615.08",$1.63,$33.44,$4.52,"$5,663,405.21",5.75%
2025-01-01,2025-09-01,IOS,Sportsbetting,MA,9,$0.39,0.40%,0.02205849914,0.002615548209,0.35625,$13.48,$40.91,150048728,3323554,7947,82824,"$279,977.75",$1.87,$35.23,$3.38,"$5,663,405.21",4.94%
2025-01-01,2025-09-01,IOS,Sportsbetting,IL,10,$0.52,0.59%,0.03212773698,0.00331242542,0.45,$12.87,$37.92,111587887,3353897,10773,129866,"$262,974.58",$2.36,$24.41,$2.02,"$5,663,405.21",4.64%
2025-01-01,2025-09-01,IOS,Sportsbetting,VA,11,$0.51,0.43%,0.02928125499,0.002801604321,0.25,$17.28,$53.81,138626567,2957454,6386,58358,"$238,510.44",$1.72,$37.35,$4.09,"$5,663,405.21",4.21%
2025-01-01,2025-09-01,IOS,RMG,NV,2,,,,,,,,,,,,$56.45,,,,"$1,823,644.05",0.00%
2025-01-01,2025-09-01,IOS,RMG,VT,2,,,,,,,,,,,,$50.30,,,,"$1,823,644.05",0.00%
2025-01-01,2025-09-01,IOS,Sportsbetting,TN,9,$0.58,0.49%,0.03611236486,0.00289017341,0.1833333333,$13.33,$44.34,132131920,2943667,5738,41268,"$236,616.50",$1.79,$41.24,$5.73,"$5,663,405.21",4.18%
2025-01-01,2025-09-01,IOS,Sportsbetting,MD,6,$0.39,0.76%,0.02395651875,0.005253940455,0.4444444444,$13.80,$71.69,123119309,2847590,5519,34691,"$218,217.54",$1.77,$39.54,$6.29,"$5,663,405.21",3.85%
2025-01-01,2025-09-01,IOS,RMG,PR,1,,,,,,,,,,,,$0.03,,,,"$1,823,644.05",0.00%
2025-01-01,2025-09-01,IOS,RMG,VI,2,,,,,,,,,,,,$0.01,,,,"$1,823,644.05",0.00%
2025-01-01,2025-09-01,IOS,Sportsbetting,IN,11,$0.55,0.43%,0.03022043287,0.005306438171,0.45,$11.51,$44.07,117896714,2706947,5288,43482,"$214,783.59",$1.82,$40.62,$4.94,"$5,663,405.21",3.79%
2025-01-01,2025-09-01,IOS,Sportsbetting,LA,6,$0.43,0.70%,0.03996407921,0.002468888478,0.5381228273,$13.53,$31.85,97141452,2480602,5236,4109,"$183,163.03",$1.89,$34.98,$44.58,"$5,663,405.21",3.23%
2025-01-01,2025-09-01,IOS,Sportsbetting,CO,9,$0.50,0.51%,0.02935983958,0.002354718507,0.3333333333,$16.72,$50.63,95424470,1716224,4222,35634,"$147,771.43",$1.55,$35.00,$4.15,"$5,663,405.21",2.61%
2025-01-01,2025-09-01,IOS,Sportsbetting,KY,8,$0.54,0.48%,0.05894217485,0.002700877785,0.46875,$9.59,$38.35,66766242,1853250,4365,3153,"$137,056.64",$2.05,$31.40,$43.47,"$5,663,405.21",2.42%
2025-01-01,2025-09-01,IOS,Sportsbetting,CT,5,$0.29,0.38%,0.01920738793,0.002225988133,0.440406572,$15.09,$43.29,75235242,1428115,4011,3140,"$113,506.85",$1.51,$28.30,$36.15,"$5,663,405.21",2.00%
2025-01-01,2025-09-01,IOS,Sportsbetting,KS,11,$0.57,0.45%,0.05932202482,0.006883800313,0.6314655172,$11.49,$34.94,41736098,835809,2465,15539,"$67,686.94",$1.62,$27.46,$4.36,"$5,663,405.21",1.20%
2025-01-01,2025-09-01,IOS,Sportsbetting,IA,8,$0.44,0.52%,0.03695167183,0.005555555556,0.4666666667,$9.52,$56.03,38448706,823655,1884,14222,"$64,215.77",$1.67,$34.08,$4.52,"$5,663,405.21",1.13%
2025-01-01,2025-09-01,IOS,Sportsbetting,WV,10,$0.52,0.50%,0.01900448162,0.009534804547,1.715151515,$24.94,$30.98,24154682,507712,1141,6021,"$46,952.78",$1.94,$41.15,$7.80,"$5,663,405.21",0.83%
2025-01-01,2025-09-01,IOS,Sportsbetting,ME,6,$0.58,1.28%,0.06232490363,0.006088950733,0.1077294686,$5.85,$332.90,9173159,463283,590,61,"$38,446.65",$4.19,$65.16,$630.27,"$5,663,405.21",0.68%
2025-01-01,2025-09-01,IOS,Sportsbetting,WY,7,$0.43,0.35%,0.07400466196,0.001156440732,1,$6.57,$74.63,6231924,134644,233,111,"$11,599.89",$1.86,$49.78,$104.50,"$5,663,405.21",0.20%
2025-01-01,2025-09-01,IOS,Sportsbetting,VT,8,$0.40,0.50%,0.03902997502,0.01199337364,5.392628205,$32.50,$35.95,7640648,133996,287,2578,"$10,082.05",$1.32,$35.13,$3.91,"$5,663,405.21",0.18%
2025-01-01,2025-09-01,IOS,Sportsbetting,AR,9,$0.57,0.78%,0.07214935979,0.00325732899,0.2881355932,$11.08,$24.65,2523288,90541,245,46,"$6,301.45",$2.50,$25.72,$136.99,"$5,663,405.21",0.11%
2025-01-01,2025-09-01,IOS,Sportsbetting,RI,8,$0.45,0.71%,0.03239453958,0.0004210923725,0.1571428571,$13.27,$177.56,859962,27367,71,14,"$2,106.67",$2.45,$29.67,$150.48,"$5,663,405.21",0.04%
2025-01-01,2025-09-01,IOS,Sportsbetting,DE,7,$0.44,0.93%,0.04524500168,0.002240882949,0.2777777778,$6.27,$37.96,427865,3588,20,4,$214.43,$0.50,$10.72,$53.61,"$5,663,405.21",0.00%
2025-01-01,2025-09-01,IOS,Sportsbetting,NH,6,$0.45,0.49%,0.1200768492,0.0157480315,0.6666666667,$3.35,$4.68,240113,1456,14,2,$98.37,$0.41,$7.03,$49.19,"$5,663,405.21",0.00%
2025-01-01,2025-09-01,IOS,Sportsbetting,NV,1,,,,,,,,,,,,$9.30,,,,"$5,663,405.21",0.00%
2025-01-01,2025-09-01,IOS,Sportsbetting,VI,2,,,,,,,,,,,,$0.03,,,,"$5,663,405.21",0.00%
