week_utc,week_start,week_end,os,format_type,sub_genre,n_apps,cpm_bm,ctr_bm,ipm_bm,cvr_bm,i2a_bm,cpa_bm,cpi_bm,cpftd_bm,cohort_imp,cohort_clk,cohort_ins,cohort_act,cohort_spend,cpm_weighted,cpi_weighted,cpftd_weighted,format_spend_share
2025-06-16,2025-06-16,2025-06-22,IOS,Statics,RMG,8,$0.41,0.15%,0.02,0.12%,12.69%,$290.27,$31.94,$290.27,97532959,450424,1958,238,"$67,091.72",0.687887641,34.26543263,281.8979709,27.93%
2025-06-16,2025-06-16,2025-06-22,IOS,Video,RMG,10,$25.10,15.93%,0.41,0.02%,14.04%,$524.38,$32.69,$572.18,6312165,1294649,2690,439,"$173,157.03",27.43227269,64.37064369,394.4351515,72.07%
2025-06-16,2025-06-16,2025-06-22,ANDROID,Playables,Sportsbetting,1,,,,,,,,,,,,,$20.07,,,,0.02%
2025-06-16,2025-06-16,2025-06-22,IOS,Playables,Sportsbetting,2,,,,,,,,,,,,,"$3,130.83",,,,0.79%
2025-06-16,2025-06-16,2025-06-22,ANDROID,Video,Sportsbetting,7,$30.92,32.40%,1.05,0.02%,7.22%,$199.72,$25.46,$345.16,1828081,613340,1875,166,"$97,979.41",53.59686608,52.25568669,590.237425,79.71%
2025-06-16,2025-06-16,2025-06-22,ANDROID,Statics,Sportsbetting,7,$1.35,0.76%,0.05,0.03%,8.33%,$437.37,$27.43,$544.96,17029087,129532,846,59,"$24,926.74",1.463774107,29.46422769,422.4870614,20.28%
2025-06-16,2025-06-16,2025-06-22,IOS,Statics,Sportsbetting,10,$0.34,0.14%,0.04,0.18%,9.17%,$148.53,$14.14,$148.76,212264122,1424082,8890,968,"$147,881.38",0.696685707,16.63457591,152.7700205,37.08%
2025-06-16,2025-06-16,2025-06-22,IOS,Video,Sportsbetting,11,$18.57,18.91%,0.88,0.03%,7.30%,$197.19,$19.09,$236.68,15840937,3086069,6592,654,"$247,813.90",15.64389144,37.59312783,378.9203343,62.14%
2025-06-23,2025-06-23,2025-06-29,ANDROID,Playables,RMG,0,,,,,,,,,,,,,$0.00,,,,0.00%
2025-06-23,2025-06-23,2025-06-29,IOS,Playables,RMG,0,,,,,,,,,,,,,$0.00,,,,0.00%
2025-06-23,2025-06-23,2025-06-29,ANDROID,Statics,RMG,3,$8.90,6.36%,0.33,0.05%,8.70%,$305.69,$36.73,$305.69,1049692,140855,370,21,"$13,030.79",12.41391956,35.2183569,620.5139073,21.43%
2025-06-23,2025-06-23,2025-06-29,ANDROID,Video,RMG,4,$57.63,34.07%,2.04,0.01%,3.09%,$585.61,$28.39,"$1,262.00",987582,302526,1350,45,"$47,780.62",48.38141545,35.39304818,1061.791445,78.57%
2025-06-23,2025-06-23,2025-06-29,IOS,Statics,RMG,7,$0.56,0.23%,0.02,0.17%,13.49%,$123.04,$41.09,$210.23,77551340,347794,5191,487,"$55,395.40",0.71430616,10.67143129,113.7482543,22.99%
2025-06-23,2025-06-23,2025-06-29,IOS,Video,RMG,8,$35.21,22.74%,0.77,0.04%,10.50%,$204.18,$29.45,$516.96,5414523,1264602,3195,357,"$185,528.27",34.26493321,58.06831579,519.6870279,77.01%
2025-06-23,2025-06-23,2025-06-29,ANDROID,Playables,Sportsbetting,1,,,,,,,,,,,,,$18.34,,,,0.01%
2025-06-23,2025-06-23,2025-06-29,IOS,Playables,Sportsbetting,2,,,,,,,,,,,,,$552.15,,,,0.14%
2025-06-23,2025-06-23,2025-06-29,ANDROID,Video,Sportsbetting,7,$24.73,33.81%,1.29,0.02%,7.25%,$384.96,$27.90,$384.96,1956638,659540,1910,151,"$100,833.74",51.53418166,52.79253306,667.7731002,79.89%
2025-06-23,2025-06-23,2025-06-29,ANDROID,Statics,Sportsbetting,7,$1.62,0.63%,0.05,0.03%,5.17%,$481.83,$25.72,$518.89,16453459,125252,902,50,"$25,363.77",1.541546622,28.11948352,507.2754827,20.10%
2025-06-23,2025-06-23,2025-06-29,IOS,Statics,Sportsbetting,10,$0.42,0.13%,0.04,0.16%,11.54%,$110.77,$15.64,$115.65,194613034,1156498,8182,977,"$143,932.61",0.739583605,17.59137243,147.320992,36.38%
2025-06-23,2025-06-23,2025-06-29,IOS,Video,Sportsbetting,10,$20.85,23.11%,0.58,0.03%,8.67%,$240.32,$23.64,$352.49,13758578,3243357,7881,994,"$251,179.16",18.25618612,31.8714834,252.6953327,63.48%
2025-06-30,2025-06-30,2025-07-06,ANDROID,Playables,RMG,0,,,,,,,,,,,,,$0.00,,,,0.00%
2025-06-30,2025-06-30,2025-07-06,IOS,Playables,RMG,1,,,,,,,,,,,,,$782.68,,,,0.40%
