utc_week,country,os,vertical,creative_format,cpm,cpi,ftd_rate,cftd,avg_user_spend,total_gross_spend
2024-09-09,GBR,IOS,RMG,Playables,20.211245,33.2531667,0.05,420.4500009,262.4962813,32134.00767
2025-05-05,DEU,IOS,RMG,Playables,82.638751,6.528461321,,,,6.528461321
2025-06-09,CAN,IOS,Sportsbetting,Video,23.923109,110.5196869,,,1215.716555,3647.149666
2025-04-21,DEU,ANDROID,Sportsbetting,Video,9.2141675,30.93536166,0,,180.5658708,2345.955153
2024-10-14,USA,IOS,Sportsbetting,Playables,8.244191,68.17096276,0.06598984772,1033.052282,1033.052282,13429.67966
2024-09-16,DEU,ANDROID,RMG,Statics,0.708889,10.21473321,,,345.6142768,564.6530204
2024-09-30,AUS,IOS,RMG,Statics,0.13511425,20.67084741,0,,226.5199916,2169.653496
2025-04-14,PHL,ANDROID,RMG,Video,6.039776,1.543929542,,,7.822464588,17064.46708
2024-09-02,USA,IOS,Sportsbetting,Playables,3.29119,33.14023486,0.1811594203,182.9340964,182.9340964,4573.352411
2025-01-06,DEU,IOS,Sportsbetting,Statics,0.539733,27.91003607,0.07120085016,391.9902081,391.9902081,26263.34394
2024-12-16,USA,ANDROID,RMG,Statics,2.514351903,15.02607696,0.025,778.5515131,139.3830117,59638.56345
2025-05-19,GBR,ANDROID,RMG,Playables,41.1094965,8.857278454,,,266.081023,5119.36039
2025-06-16,DEU,ANDROID,RMG,Video,29.96250614,14.51560008,0,,470.3951156,66474.18282
2025-05-12,ESP,IOS,RMG,Video,5.532718,71.4086117,0.2121212121,336.640598,336.640598,2356.484186
2024-08-12,DEU,IOS,Sportsbetting,Video,9.982957,34.337729,0.02702702703,1270.495973,1270.495973,2540.991946
2025-01-13,ESP,ANDROID,Sportsbetting,Statics,0.435395,23.97459066,0.08074534161,296.9160843,296.9160843,3859.909096
2025-03-24,PHL,ANDROID,RMG,Video,5.699189333,1.034994065,,,11.29482559,15929.75574
2025-04-07,ESP,IOS,RMG,Video,5.282934,63.42448425,0.08108108108,782.2353058,782.2353058,2346.705917
2024-09-02,BRA,IOS,RMG,Video,16.3453685,6.962653379,,,20.28393478,9276.722428
2025-04-07,ESP,IOS,RMG,Statics,0.945844,67.50063887,0.1971326165,342.4123317,342.4123317,18832.67824
2025-06-09,BRA,IOS,RMG,Video,5.589238,3.207067408,0,,9.262617305,3752.892951
2025-07-07,ESP,IOS,Sportsbetting,Video,6.90061,42.99086093,0.09337860781,460.393038,460.393038,25321.61709
2025-07-07,USA,ANDROID,RMG,Video,74.71212392,21.08306313,0.07503652144,900.5202157,267.5523722,474134.3325
2025-03-10,ESP,IOS,Sportsbetting,Statics,1.295663,26.92762547,0.144966443,185.7507498,185.7507498,40122.16195
2024-08-26,USA,IOS,RMG,Video,44.84148675,24.06200013,0.08688054023,584.9289711,318.0710384,1336123.654
2025-03-24,USA,IOS,RMG,Video,58.6893626,26.43282877,0.0940125196,493.8410123,265.1481463,1384312.497
2025-08-04,CAN,IOS,RMG,Statics,0.404985875,28.0037754,0.003846153846,2174.491589,845.0375711,20981.43891
2025-02-10,GBR,IOS,RMG,Video,17.6667355,34.37866727,0.09305018162,357.0947672,289.7992201,85825.1982
2024-08-12,ESP,ANDROID,RMG,Video,15.631877,6.159725092,,,61.12841187,806.9229467
2024-12-30,DEU,ANDROID,RMG,Video,38.2721115,18.62644938,,,416.1064514,4184.613827
2025-01-20,GBR,IOS,Sportsbetting,Video,5.5439275,13.40666441,0.07723896898,173.7007213,173.7007213,26768.4505
2025-05-12,CAN,ANDROID,RMG,Statics,1.176956,54.76950854,0.3571428571,417.6690147,252.5145936,3288.800512
2025-03-03,USA,IOS,Sportsbetting,Video,11.0330962,92.93448218,0.05123220262,452.6466671,460.2528477,199477.312
2024-12-30,ESP,IOS,RMG,Video,11.014204,11.29759373,,,,46.621721
2024-10-14,PHL,ANDROID,Sportsbetting,Video,3.067514,1.017368601,0.01196410768,85.03505886,85.03505886,1020.420706
2024-11-18,DEU,ANDROID,RMG,Video,41.7941495,17.04661238,,,414.7838565,5458.098782
2024-11-18,BRA,IOS,RMG,Statics,0.079126,4.587852654,0,,12.52188354,1821.000032
2025-01-20,GBR,ANDROID,RMG,Video,24.416258,19.42028094,0,,197.871867,17753.89784
2025-08-11,CAN,ANDROID,RMG,Statics,1.158932167,47.28642112,,,458.4741381,2703.144329
2024-09-30,USA,IOS,Sportsbetting,Video,20.31215925,46.49011145,0.08256823023,516.4936434,295.5995709,198548.0561
2025-06-02,DEU,ANDROID,Sportsbetting,Video,9.663733,33.20007554,0,,,498.0011331
2024-10-14,AUS,IOS,RMG,Video,23.6681796,16.21926286,0,,185.5450749,8274.021991
2024-10-14,USA,ANDROID,Sportsbetting,Video,32.95375,55.94398074,0.12,466.1998395,489.5098314,9790.196629
2024-09-23,ESP,ANDROID,Sportsbetting,Statics,1.085342,18.18569693,0.01666666667,1091.141816,1091.141816,1091.141816
2025-03-03,CAN,ANDROID,RMG,Statics,1.187342,42.37363284,,,379.6500137,1073.859051
2025-05-05,USA,IOS,RMG,Statics,0.914537875,28.07914206,0.04259360243,382.866349,347.9508419,410045.1237
2024-07-29,BRA,ANDROID,RMG,Video,7.982280125,1.835154255,,,16.8022352,27282.83483
2025-04-07,USA,IOS,RMG,Video,56.83733453,31.46035026,0.06941513022,808.0471481,332.2930751,1424345.96
2024-10-28,USA,ANDROID,RMG,Video,86.05845049,17.86437182,0.0300990676,1259.315551,274.4069554,748893.1431
2024-11-11,GBR,IOS,RMG,Statics,0.598803667,23.49523264,0.07387395045,263.2900039,503.2604066,73060.80839
2025-01-20,ESP,IOS,RMG,Video,10.7375625,27.8563483,0.1212121212,545.839142,342.7659978,5786.283241
2025-03-24,DEU,IOS,Sportsbetting,Statics,0.367186,20.19230003,0.09659090909,209.0496944,209.0496944,14215.37922
2024-12-09,GBR,ANDROID,RMG,Statics,0.321861,13.33793577,0.09459459459,128.2931891,214.0450448,2310.78302
2024-09-09,AUS,ANDROID,RMG,Video,34.2141315,9.850021129,0,,333.992826,9115.121303
2025-08-04,BRA,IOS,RMG,Video,4.998299,2.526766348,,,31.22125348,9553.703563
2024-10-28,GBR,ANDROID,RMG,Statics,0.31501225,14.18752483,0.03333333333,144.001432,173.322789,2148.699196
2024-12-02,PHL,ANDROID,RMG,Video,2.8909075,0.538350583,,,7.163670441,13858.79031
2025-05-19,DEU,ANDROID,RMG,Statics,0.319963,13.85942279,,,,461.7720152
2025-01-20,ESP,IOS,Sportsbetting,Video,5.123738,30.15745982,0.1221198157,246.9497653,246.9497653,13088.33756
2025-08-04,ESP,ANDROID,Sportsbetting,Statics,0.2496085,20.30884378,0.06097846442,433.0860952,433.0860952,3115.255253
2024-11-11,BRA,ANDROID,RMG,Video,16.716958,3.356495831,,,22.67999546,50706.32504
2025-08-04,GBR,ANDROID,Sportsbetting,Statics,0.299561,24.20782909,,,,992.5209925
