date,os,vertical,country,total_DAU,total_downloads,total_duration_minutes
2024-10-10,IOS,RMG,USA,"931,446","19,745","6,276,014"
2024-10-10,IOS,Sportsbetting,USA,"3,214,200","59,191","37,647,995"
2024-10-10,ANDROID,Sportsbetting,USA,"1,697,823","37,025","18,752,348"
2024-10-11,ANDROID,RMG,USA,"635,136","13,573","10,794,460"
2024-10-11,IOS,RMG,USA,"718,790","21,176","9,331,931"
2024-10-11,ANDROID,Sportsbetting,USA,"1,471,107","50,174","13,923,220"
2024-10-11,IOS,Sportsbetting,USA,"3,405,452","68,073","34,646,223"
2024-10-12,IOS,RMG,USA,"799,539","24,990","7,760,689"
2024-10-12,ANDROID,RMG,USA,"661,964","15,553","10,817,229"
2024-10-12,IOS,Sportsbetting,USA,"3,333,029","95,812","38,613,970"
2024-10-12,ANDROID,Sportsbetting,USA,"1,416,720","60,267","15,004,109"
2024-10-13,IOS,RMG,USA,"704,918","24,918","5,305,348"
2024-10-13,ANDROID,RMG,USA,"645,143","10,225","10,765,393"
2024-10-13,ANDROID,Sportsbetting,USA,"1,904,508","43,166","32,816,962"
2024-10-13,IOS,Sportsbetting,USA,"4,077,012","160,249","51,669,390"
2024-10-14,IOS,RMG,USA,"575,945","18,328","4,989,632"
2024-10-14,ANDROID,RMG,USA,"617,550","7,652","11,239,960"
2024-10-14,ANDROID,Sportsbetting,USA,"1,657,835","39,523","17,780,352"
2024-10-14,IOS,Sportsbetting,USA,"3,895,209","149,357","42,624,111"
2024-10-15,IOS,RMG,USA,"626,036","20,408","6,188,508"
2024-10-15,ANDROID,RMG,USA,"645,001","7,163","12,552,126"
2024-10-15,ANDROID,Sportsbetting,USA,"1,526,067","39,875","16,188,138"
2024-10-15,IOS,Sportsbetting,USA,"3,540,183","131,659","38,213,456"
2024-10-16,IOS,RMG,USA,"655,998","20,656","6,993,506"
2024-10-16,ANDROID,RMG,USA,"664,647","5,350","11,435,550"
2024-10-16,ANDROID,Sportsbetting,USA,"1,446,008","35,547","15,808,380"
2024-10-16,IOS,Sportsbetting,USA,"3,149,692","74,913","31,246,240"
2024-10-17,IOS,RMG,USA,"911,868","24,563","6,289,340"
2024-10-17,ANDROID,RMG,USA,"661,888","7,015","11,374,337"
2024-10-17,IOS,Sportsbetting,USA,"3,335,975","89,528","39,115,743"
2024-10-17,ANDROID,Sportsbetting,USA,"1,787,225","39,385","19,052,896"
2024-10-18,IOS,RMG,USA,"638,113","22,608","8,974,197"
2024-10-18,ANDROID,RMG,USA,"640,536","11,825","12,032,527"
2024-10-18,ANDROID,Sportsbetting,USA,"1,517,300","50,144","13,917,118"
2024-10-18,IOS,Sportsbetting,USA,"3,366,916","79,135","35,004,811"
