utc_week,country,os,vertical,creative_format,cpm,cpi,ftd_rate,cftd,avg_user_spend,gross_spend_usd,spend_share,unique_bundle_count,,https://moloco.looker.com/explore/ads_bpd_china/fact_dsp_all_joined?qid=kwWfa0cZQn2kEMQOesyzK6,,,WITH main as (WITH fact_dsp_creative AS (
2024-10-07,USA,ANDROID,RMG,Video,87.27139404,16.77600844,0.05049459185,949.6651828,201.4172699,919282.8703,0.868695918,45,,,,,AND f.product.app_market_bundle IN
2024-10-21,USA,ANDROID,RMG,Video,83.54313489,16.75446422,0.03417431907,945.9747126,212.8668335,811337.3451,0.860196637,46,,,,,(SELECT app_market_bundle FROM ads-bpd-guard-sandbox.insights_engine.known_rmg_bundles)
2025-03-31,GBR,IOS,RMG,Statics,0.559450727,41.37198013,0.08567444033,162.2028827,276.9326502,76037.8085,0.525827437,11,,,,,"--AND fact_dsp_creative.product.sub_genre IN ('Casinos & Gambling', 'Fantasy Sports', 'Sports Betting')"
2025-04-07,BRA,ANDROID,RMG,Video,8.540548,3.200240395,,,54.42103301,53071.87875,0.951865966,4,,,,,"AND f.campaign.country IN ('GBR', 'USA','ESP','AUS','BRA','CAN','PHL','DEU')"
2025-07-07,USA,IOS,RMG,Playables,69.91764771,23.13583501,0.05501152074,725.7024275,257.9875726,171575.392,0.370133243,17,,,,,--AND f.campaign.country IN ('USA')
2025-08-18,DEU,IOS,RMG,Video,21.55224267,44.57823764,0.09090909091,379.8673195,303.2733678,7348.949901,0.626901178,3,,,,,--AND (
2024-09-02,USA,IOS,RMG,Video,47.7815489,26.20042565,0.1296072071,599.3192383,307.4125536,1244410.369,0.724512732,41,,,,,-- fact_dsp_creative.campaign.goal <> 'OPTIMIZE_CPA_FOR_APP_RE'
2024-11-04,USA,ANDROID,RMG,Statics,3.574768231,18.09136966,0.02659574468,4782.119718,329.704006,125667.1024,0.219239177,26,,,,,-- AND fact_dsp_creative.campaign.goal <> 'OPTIMIZE_REATTRIBUTION_FOR_APP'
2024-11-18,GBR,ANDROID,RMG,Video,22.4748868,14.70215237,0.02553191489,179.3035801,177.3259555,28100.92379,0.830886268,5,,,,,-- AND fact_dsp_creative.campaign.goal <> 'OPTIMIZE_ROAS_FOR_APP_RE'
2024-09-02,USA,ANDROID,RMG,Statics,2.468022762,17.21769589,0.06840909091,670.3157716,277.3602155,91428.52406,0.177484468,21,,,,,-- AND fact_dsp_creative.campaign.goal <> 'OPTIMIZE_CPC_FOR_APP_RE'
2024-09-23,USA,IOS,RMG,Statics,0.45720776,25.20616873,0.08494753545,419.4249828,261.11145,309879.2828,0.538316615,25,,,,,--AND fact_dsp_creative.campaign.goal IS NULL
2025-08-18,GBR,IOS,Sportsbetting,Video,20.31136767,52.08103819,0.06508748633,487.7501824,527.4810019,50009.85747,0.473877558,3,,,,,--)
2024-10-07,DEU,ANDROID,RMG,Video,28.47439067,12.71159599,,,832.4478926,7815.63286,1,3,,,,,GROUP BY
2024-12-16,USA,ANDROID,RMG,Video,78.23160883,17.09885453,0.05599122691,546.5491977,234.7680688,600091.5618,0.820273054,40,,,,,"1, 2, 3, 4, 5, 6"
2025-06-02,USA,IOS,RMG,Video,60.81109018,36.04848738,0.08456572151,740.2623189,406.6600821,1323338.068,0.702568295,45,,,,,ORDER BY
2025-07-14,USA,ANDROID,RMG,Video,68.23414937,23.55866744,0.05988235294,1483.657407,275.2525053,465508.2714,0.718189883,38,,,,,1 DESC)
2024-08-05,USA,ANDROID,RMG,Video,62.83282329,13.25867958,0.04657464745,567.1924373,183.6166144,574295.8469,0.925798265,42,,,,,","
2024-08-19,USA,ANDROID,RMG,Video,64.2360538,14.42675103,0.05842161334,558.3154161,229.9391944,764897.6299,0.926556029,46,,,,,first_purchase as (
2024-09-02,BRA,ANDROID,RMG,Video,12.4642075,3.375978413,,,21.72824187,41401.60875,1,6,,,,,"SELECT FORMAT_TIMESTAMP('%F', TIMESTAMP_TRUNC(timestamp_utc, WEEK(MONDAY))) AS utc_week,"
2024-12-23,USA,ANDROID,RMG,Playables,129.1441274,15.56322082,0.03171641791,872.3981226,176.8490409,63465.15427,0.413313278,10,,,,,"campaign.country AS country,"
2025-01-27,USA,ANDROID,RMG,Video,60.8583958,16.81271805,0.1010802236,577.6086286,192.2122266,573003.3634,0.869300503,30,,,,,"campaign.os AS os,"
2025-02-17,USA,ANDROID,RMG,Statics,2.376465611,6.658951091,0,,114.9976634,84267.46544,0.255973187,18,,,,,"product.app_market_bundle as app_market_bundle,"
2024-08-26,GBR,IOS,RMG,Video,20.11608336,28.80679572,0.07659288321,306.0498702,246.8562049,99544.35968,0.489870828,11,,,,,"case when a.rmg_segment = 'Sports Betting' then 'Sportsbetting' else 'RMG' end as vertical,"
2024-09-09,USA,IOS,RMG,Statics,0.468973345,23.34739858,0.09116059211,229.8023133,225.61593,511439.4293,0.489597364,29,,,,,"case when creative.format IN ('nv', 'vi', 'vb')"
2025-01-06,GBR,ANDROID,RMG,Video,13.7476984,14.25801468,0.01776649746,315.7525733,197.8297377,30644.08072,0.811906558,5,,,,,THEN 'Video'
2025-03-03,USA,IOS,RMG,Statics,0.524056559,26.71695894,0.121886729,188.1179624,271.617554,660745.7389,0.447660507,34,,,,,"WHEN creative.format IN ('db', 'ib', 'di', 'ii', 'ni', 'nl')"
2025-04-28,CAN,IOS,RMG,Video,24.745666,57.44845731,0.02885783133,1767.364488,706.4204183,100231.673,0.816330788,10,,,,,THEN 'Statics'
2024-12-30,GBR,IOS,RMG,Video,13.81874408,31.99618272,0.1021718385,222.4967585,213.3905824,87173.73906,0.491813878,12,,,,,"WHEN creative.format IN ('ri', 'rb')"
2025-03-24,USA,IOS,RMG,Video,58.16512919,27.83836697,0.0940125196,493.8410123,281.8417109,1382471.284,0.630055889,43,,,,,THEN 'Playables'
2024-12-16,USA,IOS,RMG,Playables,42.13407717,25.68350395,0.04924242424,675.9377626,274.7342964,155748.838,0.310204565,12,,,,,"END AS creative_format,"
2024-08-26,CAN,IOS,RMG,Statics,0.41341,49.67122571,0.04761904762,285.3004549,263.043983,6591.320487,0.422799817,3,,,,,"sum(kpi_actions_d7) as kpi_actions_d7,"
2024-09-16,USA,ANDROID,RMG,Video,78.97187431,17.98748238,0.05833409288,1419.771711,233.9256652,869243.168,0.906458128,49,,,,,sum(installs) as installs
