date_utc,os,format_type,sub_genre,n_apps,cpm_bm,ctr_bm,ipm_bm,cvr_bm,i2a_bm,cpa_bm,cpi_bm,cpftd_bm,cohort_imp,cohort_clk,cohort_ins,cohort_act,cohort_spend,cpm_weighted,cpi_weighted,cpftd_weighted,format_spend_share
2024-08-25,ANDROID,All,RMG,6,$12.38,6.61%,0.7476566836,0.0004006790402,0.04011857708,431.705807,11.90168525,593.3340363,921627,57576,869,13,"$10,207.09",11.07507362,11.74578466,785.1605286,1
2024-08-25,IOS,All,RMG,6,$3.33,2.76%,0.06513920525,0.000162333955,0.08292880259,"1,104.96",64.12278848,"1,104.96",9629775,175329,480,46,"$22,493.88",2.335868044,46.8622577,488.9974717,1
2024-08-25,ANDROID,All,Sportsbetting,5,$4.30,3.08%,0.2138883323,0.000269523617,0.06578947368,255.3308251,16.47295646,255.3308251,2215779,81341,359,31,"$10,765.95",4.85876532,29.98871911,347.2887149,1
2024-08-25,IOS,All,Sportsbetting,8,$1.40,1.36%,0.1521432142,0.001349008655,0.183524173,94.57364337,26.65372288,127.1127475,32487568,587510,7853,497,"$65,043.56",2.002106045,8.282638008,130.8723466,1
2024-08-26,IOS,All,RMG,6,$3.34,2.70%,0.09212948721,0.0001888003307,0.07412714956,940.3701199,33.56800588,956.5147322,10949054,152656,531,50,"$20,580.01",1.87961513,38.75707638,411.6001511,1
2024-08-26,ANDROID,All,RMG,6,$12.40,6.52%,0.7554487584,0.0002876735233,0.02548951049,366.1874089,20.62805449,638.2780552,925648,55580,794,15,"$9,899.22",10.69436978,12.46753401,659.9481334,1
2024-08-26,ANDROID,All,Sportsbetting,5,$4.13,3.71%,0.1415242158,0.0002151753667,0.05003032141,551.138989,28.07867326,551.138989,2457486,79990,293,15,"$11,113.95",4.522485876,37.93155538,740.929715,1
2024-08-26,IOS,All,Sportsbetting,8,$1.16,0.82%,0.1440283143,0.001132104462,0.08394890067,102.8514973,20.65161507,179.3039297,27894875,443835,7710,317,"$48,807.14",1.749681407,6.330368891,153.9657544,1
2024-08-27,ANDROID,All,RMG,6,$12.77,7.21%,0.8203550493,0.0004059115239,0.04188596491,240.0186977,18.74128731,420.3385833,951345,57537,817,23,"$9,774.79",10.27470353,11.96424459,424.9907753,1
2024-08-27,IOS,All,RMG,6,$3.78,2.35%,0.04701397583,0.0003226178454,0.1485221675,545.5560307,63.25054257,573.9146497,11038192,151718,507,64,"$19,526.04",1.768952919,38.51290327,305.0944056,1
