date,country,os,vertical,creative_format,cpm,cpi,ftd_rate,cftd,avg_user_spend,total_gross_spend
2024-08-11,USA,ANDROID,RMG,Statics,1.842029938,15.6940483,0,,73.27072354,7166.874537
2024-08-12,USA,IOS,Sportsbetting,Statics,1.116689,12.88122076,0.05993690852,75.2645995,102.1653269,4309.893115
2024-08-12,USA,ANDROID,RMG,Video,60.15594235,13.04250884,0.06322751323,496.8085234,219.0064875,84358.11653
2024-08-12,USA,ANDROID,Sportsbetting,Statics,1.035976,30.49768489,0.4,76.24421223,152.4884245,152.4884245
2024-08-12,USA,IOS,Sportsbetting,Video,32.53306533,59.88520755,0.05313267813,673.6590702,545.5866457,12844.89903
2024-08-12,USA,IOS,RMG,Video,39.52128924,22.73770748,0.1091967314,907.2916937,269.3131864,154596.2737
2024-08-12,USA,IOS,RMG,Statics,0.366088,16.0098979,0.1583753501,223.1821303,139.1852447,36108.28136
2024-08-12,USA,IOS,RMG,Playables,76.71669918,15.27755249,0,,173.9507797,5179.373391
2024-08-12,USA,IOS,Sportsbetting,Playables,38.093649,41.36970315,0,,107.5612282,1613.418423
2024-08-12,USA,ANDROID,RMG,Playables,63.648553,5.8479541,0,,119.7832502,1215.400708
2024-08-12,USA,ANDROID,Sportsbetting,Video,40.786347,21.25478517,0.0625,340.0765626,340.0765626,340.0765626
2024-08-12,USA,ANDROID,RMG,Statics,1.400115333,14.12758668,0.08333333333,514.3960346,114.1837563,6858.926377
2024-08-13,USA,IOS,Sportsbetting,Statics,0.867815333,12.79921516,0.2851906158,40.46695513,77.84203947,4453.804956
2024-08-13,USA,IOS,RMG,Video,41.09679781,25.84126925,0.07888888889,887.2176508,289.5580839,163074.945
2024-08-13,USA,ANDROID,RMG,Video,57.53719723,12.83375445,0.05324505107,627.6883171,198.4829971,87941.14426
2024-08-13,USA,IOS,RMG,Statics,0.426971667,15.80120271,0.08321958322,462.0955698,170.1001712,36881.39872
2024-08-13,USA,IOS,Sportsbetting,Video,34.24539667,65.7239565,0.06031684197,575.8177143,471.2415015,13155.88091
2024-08-13,USA,ANDROID,Sportsbetting,Video,38.55298,43.79618471,,,,306.573293
2024-08-13,USA,ANDROID,Sportsbetting,Statics,1.110345,67.75104678,0,,,135.5020936
2024-08-13,USA,IOS,Sportsbetting,Playables,36.417754,36.14058584,0,,87.97379448,6686.00838
2024-08-13,USA,IOS,RMG,Playables,69.2315353,29.96216059,0,,220.7943219,5542.771035
2024-08-13,USA,ANDROID,RMG,Playables,64.210016,17.30485235,0,,218.5113933,1338.186246
2024-08-13,USA,ANDROID,RMG,Statics,1.384040081,13.37238212,0.1666666667,275.3739588,105.8984561,7361.081991
2024-08-14,USA,IOS,RMG,Video,39.48419254,22.94447991,0.03409090909,290.6008204,194.1299201,160496.7899
2024-08-14,USA,IOS,Sportsbetting,Statics,0.727006667,10.40663161,0.02989771833,39.28068272,68.68535119,5288.617358
2024-08-14,USA,IOS,Sportsbetting,Video,32.47638133,55.58535062,0.01153612629,99.05401584,151.5811494,12073.69105
2024-08-14,USA,IOS,RMG,Statics,0.430102394,19.0156305,0.123294347,188.8422277,167.9466945,39290.5493
2024-08-14,USA,ANDROID,RMG,Video,59.1240853,12.60359095,0.05046259582,624.8693206,153.5928861,86726.11613
2024-08-14,USA,ANDROID,Sportsbetting,Playables,34.580184,25.45101556,,,,25.45101556
2024-08-14,USA,ANDROID,Sportsbetting,Video,42.12304,28.5706539,,,,428.5598085
2024-08-14,USA,IOS,Sportsbetting,Playables,28.973617,6.182214343,0,,42.14411477,6448.04956
2024-08-14,USA,ANDROID,RMG,Statics,1.397385162,14.42571964,0,,83.94618605,8348.313666
2024-08-14,USA,ANDROID,Sportsbetting,Statics,1.115728,9.726002131,0,,,165.3420362
2024-08-14,USA,ANDROID,RMG,Playables,59.616969,13.43829108,0,,220.046122,1414.839792
2024-08-14,USA,IOS,RMG,Playables,63.89420982,19.5637061,0,,129.7303093,7216.869169
2024-08-15,USA,IOS,RMG,Statics,0.417825818,17.05737962,0.04658119658,645.509694,199.6015007,39008.5843
2024-08-15,USA,ANDROID,RMG,Video,59.34793404,13.38216822,0.06547984973,560.3061119,165.8353192,93820.95142
2024-08-15,USA,IOS,Sportsbetting,Statics,0.913243333,11.43082591,0.003558718861,1084.643461,85.50478976,11757.6083
2024-08-15,USA,IOS,RMG,Video,41.70672607,25.57609303,0.07283285973,936.6406791,290.6889251,161947.8156
2024-08-15,USA,IOS,Sportsbetting,Video,32.301963,59.1252088,0.08960720131,227.0657212,251.8872934,15016.22671
2024-08-15,USA,IOS,Sportsbetting,Playables,26.474674,14.54121448,0.01315789474,1105.1323,61.39623892,1105.1323
2024-08-15,USA,ANDROID,Sportsbetting,Video,40.938812,61.93359945,,,,371.6015967
2024-08-15,USA,IOS,RMG,Playables,74.49227483,22.8315263,0,,165.4208063,8626.430402
2024-08-15,USA,ANDROID,RMG,Statics,1.435216526,9.748185212,0,,95.92085541,9292.205278
2024-08-15,USA,ANDROID,RMG,Playables,52.85570775,13.35931156,0,,116.2564579,2032.213604
2024-08-15,USA,ANDROID,Sportsbetting,Statics,1.396702,39.57470137,0.2,197.8735069,197.8735069,197.8735069
2024-08-16,USA,ANDROID,Sportsbetting,Statics,2.380913,74.31588461,0.09090909091,817.4747307,817.4747307,817.4747307
2024-08-16,USA,IOS,RMG,Statics,0.392764531,17.78878575,0.07991242474,359.2724965,149.268468,46631.27574
2024-08-16,USA,IOS,RMG,Video,42.20118618,21.72116394,0.1039855524,532.5986176,296.0565075,160691.2711
2024-08-16,USA,ANDROID,RMG,Statics,1.446477974,13.29864654,0.1388888889,491.0580156,103.5956294,12110.14806
2024-08-16,USA,IOS,Sportsbetting,Statics,0.9733535,10.59985287,0.1742206235,429.981592,55.75466243,23874.80789
2024-08-16,USA,IOS,Sportsbetting,Video,30.334649,52.68404442,0.05357142857,397.7335315,323.579513,11669.38973
2024-08-16,USA,ANDROID,RMG,Video,58.40758176,13.24044183,0.07667327435,948.2608483,185.0202789,95343.74531
2024-08-16,USA,IOS,RMG,Playables,68.64993692,25.83644456,0,,150.9141504,9502.056325
2024-08-16,USA,IOS,Sportsbetting,Playables,29.168027,19.6614937,0,,,766.7982542
2024-08-16,USA,ANDROID,RMG,Playables,54.006432,14.92972776,0,,197.1593617,2155.848923
2024-08-17,USA,IOS,RMG,Video,41.23395426,24.03483275,0.09225722254,1092.931046,292.5921397,179216.5433
2024-08-17,USA,ANDROID,Sportsbetting,Statics,4.325865,88.39398303,0.1034482759,854.4751693,854.4751693,2563.425508
2024-08-17,USA,IOS,Sportsbetting,Video,31.5189015,73.95141235,0.1475409836,289.8900337,250.0771808,12491.43372
2024-08-17,USA,IOS,Sportsbetting,Playables,34.14847,53.18339625,0.1041666667,510.560604,510.560604,5105.60604
2024-08-17,USA,IOS,Sportsbetting,Statics,1.376206,14.43514084,0.0921182266,278.0043858,83.05921772,43796.40582
2024-08-17,USA,ANDROID,RMG,Video,62.54104213,13.24169419,0.05567147339,473.4313287,160.1977403,102089.1124
2024-08-17,USA,IOS,RMG,Statics,0.378196563,21.11278513,0.1476190476,239.5920902,143.8716294,47570.01858
2024-08-17,USA,ANDROID,Sportsbetting,Playables,37.533891,144.0926085,,,,144.0926085
2024-08-17,USA,IOS,RMG,Playables,64.5094759,16.22501077,0,,215.1761174,10300.81215
2024-08-17,USA,ANDROID,RMG,Playables,64.5602214,16.39244075,0,,120.9817041,2757.019336
2024-08-17,USA,ANDROID,RMG,Statics,1.849271103,16.26464874,0.125,522.9285883,132.8602025,12158.30226
2024-08-18,USA,ANDROID,RMG,Video,64.95003783,15.09436416,0.04933261183,852.9022026,203.2855917,103393.3042
2024-08-18,USA,IOS,Sportsbetting,Statics,0.93858975,11.93005812,0.02423263328,494.295225,88.24428559,23715.50425
2024-08-18,USA,IOS,RMG,Statics,0.353055375,19.74843132,0.0768115942,620.9765158,200.5773185,44227.41528
2024-08-18,USA,IOS,RMG,Video,41.79267459,23.0276098,0.08023722309,816.5231982,246.0415887,181221.0974
2024-08-18,USA,IOS,Sportsbetting,Video,30.07752867,57.33582331,0.1437190083,204.8097778,220.1732999,18687.9649
2024-08-18,USA,ANDROID,Sportsbetting,Video,41.535908,58.9130217,0.09090909091,648.0432387,648.0432387,648.0432387
2024-08-18,USA,ANDROID,RMG,Playables,67.9752202,19.17248141,0,,209.7197832,2922.078625
2024-08-18,USA,IOS,RMG,Playables,64.127147,25.94262807,0,,153.266788,9817.317716
2024-08-18,USA,ANDROID,Sportsbetting,Statics,2.584223,67.91510606,0.08333333333,814.9812727,814.9812727,814.9812727
2024-08-18,USA,IOS,Sportsbetting,Playables,32.549681,23.80962665,0.1428571429,166.6673865,166.6673865,833.3369327
2024-08-18,USA,ANDROID,RMG,Statics,1.353786973,11.3442646,0.25,164.4814961,98.37532368,10094.49876
2024-08-19,USA,ANDROID,RMG,Video,64.82950967,15.32151881,0.02945466075,1319.872416,220.2379945,100312.2293
2024-08-19,USA,IOS,Sportsbetting,Video,29.14910867,44.16058379,0.06331168831,732.9348926,558.8214356,12725.40842
2024-08-19,USA,IOS,Sportsbetting,Playables,24.521153,16.92538561,0.006944444444,2437.255527,49.73990872,2437.255527
2024-08-19,USA,IOS,RMG,Video,38.92271481,24.02923949,0.06422466422,485.6046736,227.6558138,159477.8718
2024-08-19,USA,IOS,Sportsbetting,Statics,0.74642325,9.112596077,0.05154639175,279.7100147,98.63724989,13465.19804
2024-08-19,USA,IOS,RMG,Statics,0.364043939,14.86127362,0.1141774892,159.9230361,141.8250986,41601.43267
2024-08-19,USA,ANDROID,RMG,Statics,1.477279921,14.58598307,0.2037037037,458.0077651,94.11320558,10270.35218
2024-08-19,USA,ANDROID,Sportsbetting,Video,35.535242,1.847832597,,,,12.93482818
2024-08-19,USA,ANDROID,Sportsbetting,Statics,2.12425,93.22440976,,,,466.1220488
2024-08-19,USA,ANDROID,RMG,Playables,75.1174836,14.82763214,0,,142.9921313,2632.169305
2024-08-19,USA,IOS,RMG,Playables,66.88965808,25.91783325,0,,149.6947643,9149.428504
2024-08-20,USA,IOS,RMG,Statics,0.503516333,16.91142748,0.1474210059,210.9201857,133.5617292,44386.20929
2024-08-20,USA,IOS,Sportsbetting,Statics,0.544664,8.07693816,0.2863636364,90.54178188,88.16455964,9832.479274
2024-08-20,USA,ANDROID,RMG,Statics,1.560105079,21.07721699,0.06666666667,503.7411252,82.0466806,9484.220299
2024-08-20,USA,IOS,Sportsbetting,Video,28.55358233,45.77976596,0.06662087912,461.7661035,397.3538593,14711.19025
2024-08-20,USA,IOS,RMG,Video,38.71350476,21.27465204,0.08276874435,1323.08652,337.0102866,168814.0948
2024-08-20,USA,ANDROID,RMG,Video,61.26467152,13.81188488,0.05676258382,757.4281059,179.5871667,102347.6857
2024-08-20,USA,ANDROID,Sportsbetting,Statics,1.235278,82.76580077,,,,331.0632031
2024-08-20,USA,ANDROID,Sportsbetting,Video,38.25507,68.02297866,,,,476.1608506
2024-08-20,USA,ANDROID,RMG,Playables,76.16370117,12.62952552,0,,141.6896505,2473.009754
2024-08-20,USA,IOS,RMG,Playables,65.1118421,17.52376398,0,,199.3628802,9221.265235
2024-08-20,USA,IOS,Sportsbetting,Playables,25.807592,26.74548607,0,,67.07598094,4225.786799
2024-08-21,USA,ANDROID,Sportsbetting,Video,42.627114,52.9494341,0.07692307692,688.3426433,688.3426433,688.3426433
2024-08-21,USA,IOS,Sportsbetting,Statics,0.47863875,7.315412833,0.03846153846,101.4807705,97.21664161,9930.627485
2024-08-21,USA,IOS,RMG,Video,37.12517893,25.45206573,0.1039278752,1489.05936,333.4429724,178758.0878
2024-08-21,USA,ANDROID,RMG,Statics,1.649966316,11.23785882,0.04761904762,562.6523352,91.21996753,11264.62538
2024-08-21,USA,IOS,Sportsbetting,Video,27.87888233,57.76820879,0.08257918552,460.0491518,374.7850743,16029.01769
2024-08-21,USA,IOS,RMG,Statics,0.502508743,20.2958053,0.1530045351,211.8119186,178.1597982,49321.6334
2024-08-21,USA,ANDROID,RMG,Video,65.35612613,14.10652409,0.05455241639,1129.937707,305.853178,107561.336
2024-08-21,USA,ANDROID,Sportsbetting,Statics,0.915399,46.08256787,,,,184.3302715
2024-08-21,USA,ANDROID,RMG,Playables,77.0091958,13.35254606,0,,104.8617981,2231.428001
2024-08-21,USA,IOS,Sportsbetting,Playables,24.325232,20.56730577,0,,48.59025989,3887.220791
2024-08-21,USA,IOS,RMG,Playables,62.6836468,16.02504956,0,,192.0705862,8743.537104
2024-08-22,USA,IOS,Sportsbetting,Video,27.362406,52.89659053,0.1535275636,240.0854898,216.3312844,17595.64422
2024-08-22,USA,IOS,RMG,Statics,0.517855838,18.13762874,0.1070260165,65.64272537,158.3832205,51352.29642
2024-08-22,USA,IOS,RMG,Video,39.832057,22.01031205,0.08364584339,1439.477002,327.3039237,181986.0538
2024-08-22,USA,ANDROID,RMG,Video,65.19165902,13.23535668,0.04614190529,494.0865753,250.0431231,110932.0006
2024-08-22,USA,IOS,Sportsbetting,Statics,0.61900975,9.771451591,0.08873290137,524.2883536,45.68157602,15231.85138
2024-08-22,USA,ANDROID,Sportsbetting,Video,43.722933,63.17089349,0,,,631.7089349
2024-08-22,USA,IOS,Sportsbetting,Playables,20.508777,15.88170931,0,,39.35901872,905.2574306
2024-08-22,USA,IOS,RMG,Playables,62.0884025,16.11938457,0,,205.75093,8964.408761
2024-08-22,USA,ANDROID,Sportsbetting,Statics,1.145776,46.70373811,0,,,280.2224286
2024-08-22,USA,ANDROID,RMG,Playables,85.90502,13.58007588,0,,84.31395511,2074.894017
2024-08-22,USA,ANDROID,RMG,Statics,1.740302405,14.17990313,0.1666666667,559.3721188,96.87543481,13504.44814
2024-08-23,USA,ANDROID,RMG,Video,66.09833862,13.79205731,0.08598798999,616.4977246,238.427431,112294.2116
2024-08-23,USA,IOS,Sportsbetting,Statics,0.77442775,11.1752281,0.007291666667,1171.292071,69.08513663,18116.0869
2024-08-23,USA,IOS,RMG,Statics,0.508334053,16.15165439,0.08371275411,319.8772115,155.0522718,52745.87581
2024-08-23,USA,IOS,Sportsbetting,Video,27.800231,66.42261823,0.1139285714,315.8207039,309.0374624,22642.04873
2024-08-23,USA,ANDROID,Sportsbetting,Video,44.08072,45.27785913,0.05263157895,860.2793235,860.2793235,860.2793235
2024-08-23,USA,IOS,RMG,Video,42.39884774,23.80612215,0.134527972,522.5157639,270.6431496,190346.3866
2024-08-23,USA,IOS,RMG,Playables,67.18799146,19.97011748,0,,209.4985798,9797.463098
2024-08-23,USA,IOS,Sportsbetting,Playables,24.808467,14.82128716,0,,41.49960403,622.4940605
2024-08-23,USA,ANDROID,Sportsbetting,Statics,1.338925,55.87887685,0,,,391.152138
