date,os,subgenre,format,total_gross_spend,total_installs,avg_cpi,avg_cpm,avg_spend_share,avg_user_spend,count_of_bundles,country
2024-08-11,IOS,RMG,Video,36095.00718,708,63.04623956,25.93004791,0.774442979,917.1109197,4,U.S.
2024-08-11,IOS,RMG,Statics,6524.323689,254,89.16427425,0.556076755,0.289905593,700.3109111,3,U.S.
2024-08-11,IOS,Sportsbetting,Statics,10787.74615,1034,18.41486715,1.207373421,0.208324699,123.6020279,3,U.S.
2024-08-11,IOS,Sportsbetting,Video,28938.14523,1280,54.61580118,31.33346305,0.789895403,299.4908554,3,U.S.
2024-08-12,IOS,Sportsbetting,Playables,3226.836846,78,41.36970315,38.09364931,0.257463523,107.5612282,1,U.S.
2024-08-12,ANDROID,RMG,Statics,692.5330857,66,13.90824941,0.953958703,0.049485384,120.4575649,3,U.S.
2024-08-12,ANDROID,Sportsbetting,Video,8643.984739,158,42.22989899,51.60332381,0.749861094,568.229862,2,U.S.
2024-08-12,ANDROID,Sportsbetting,Statics,1074.720786,14,111.4668345,1.326651314,0.175864284,152.4884245,2,U.S.
2024-08-12,ANDROID,RMG,Video,17987.06014,1294,14.80269526,37.99160645,0.962885962,648.9535906,4,U.S.
2024-08-12,IOS,RMG,Video,31542.94377,698,73.30239954,29.06301672,0.78784946,854.0023567,4,U.S.
2024-08-12,IOS,RMG,Statics,5887.492706,244,61.61695056,0.494515652,0.26927191,218.4373478,3,U.S.
2024-08-12,IOS,Sportsbetting,Statics,8619.786229,862,12.88122076,1.116688836,0.170944215,102.1653269,3,U.S.
2024-08-12,IOS,Sportsbetting,Video,25689.79806,1076,59.88520755,32.53306553,0.74323461,545.5866457,3,U.S.
2024-08-13,IOS,Sportsbetting,Playables,13372.01676,370,36.14058584,36.41775448,0.565851111,87.97379448,1,U.S.
2024-08-13,IOS,RMG,Playables,317.7369137,2,158.8684568,105.3504356,0.042314575,,1,U.S.
2024-08-13,ANDROID,RMG,Statics,636.9832476,54,15.90047813,0.914150003,0.048097513,84.51891875,3,U.S.
2024-08-13,ANDROID,Sportsbetting,Statics,930.8818312,12,75.11787615,1.278602105,0.17942744,,2,U.S.
2024-08-13,ANDROID,Sportsbetting,Video,7660.080269,144,49.00168345,48.30488686,0.766282431,880.8667104,2,U.S.
2024-08-13,ANDROID,RMG,Video,18278.1915,1036,18.10213213,36.33345124,0.963926865,510.013752,4,U.S.
2024-08-13,IOS,RMG,Video,29129.99902,684,63.67958389,28.88449425,0.771948017,913.6014352,4,U.S.
2024-08-13,IOS,RMG,Statics,6167.356791,254,46.41220512,0.466111007,0.289964453,454.3743199,3,U.S.
2024-08-13,IOS,Sportsbetting,Statics,8907.609912,956,12.79921516,0.86781549,0.135343797,77.84203947,3,U.S.
2024-08-13,IOS,Sportsbetting,Video,26311.76182,1070,65.7239565,34.24539676,0.676039166,471.2415015,3,U.S.
2024-08-14,ANDROID,Sportsbetting,Playables,50.90203112,2,25.45101556,34.58018419,0.041092917,,1,U.S.
2024-08-14,IOS,Sportsbetting,Playables,12896.09912,2086,6.182214343,28.97361732,0.550890842,42.14411477,1,U.S.
2024-08-14,IOS,RMG,Playables,280.5250501,4,70.13126252,98.01713839,0.036540817,,1,U.S.
2024-08-14,ANDROID,RMG,Statics,772.7570869,52,15.42171617,1.013894061,0.058298701,,3,U.S.
2024-08-14,ANDROID,Sportsbetting,Video,7428.06347,160,39.55818792,51.61438629,0.797863689,821.3679816,2,U.S.
2024-08-14,ANDROID,Sportsbetting,Statics,1030.255661,52,24.29554521,1.325089782,0.181589853,,2,U.S.
2024-08-14,ANDROID,RMG,Video,17196.10927,1096,15.11132035,39.83867219,0.956275975,409.7061933,4,U.S.
2024-08-14,IOS,RMG,Video,29150.51658,730,56.32729792,28.46183275,0.748088297,321.8839288,4,U.S.
2024-08-14,IOS,RMG,Statics,6838.213483,300,55.38284836,0.48412917,0.323701998,154.8379343,3,U.S.
2024-08-14,IOS,Sportsbetting,Statics,10577.23472,2838,10.40663161,0.727006957,0.158909763,68.68535119,3,U.S.
2024-08-14,IOS,Sportsbetting,Video,24147.3821,3474,55.58535062,32.47638156,0.657459957,151.5811494,3,U.S.
2024-08-15,IOS,Sportsbetting,Playables,2210.264601,152,14.54121448,26.47467361,0.09080608,61.39623892,1,U.S.
2024-08-15,IOS,RMG,Playables,252.6407523,2,126.3203762,108.896876,0.028187975,,1,U.S.
2024-08-15,ANDROID,RMG,Statics,871.0039823,64,21.50277501,1.121120851,0.060048318,,3,U.S.
2024-08-15,ANDROID,Sportsbetting,Video,11562.15157,140,73.22831682,51.58158285,0.779916263,1803.158063,2,U.S.
2024-08-15,ANDROID,Sportsbetting,Statics,1436.067001,22,63.13401682,1.617773985,0.216268689,197.8735069,2,U.S.
2024-08-15,ANDROID,RMG,Video,18192.91483,988,20.1261638,50.26715433,0.954963762,258.1268163,4,U.S.
2024-08-15,IOS,RMG,Video,30918.91242,730,67.25416,27.30067825,0.778605512,829.2292757,4,U.S.
2024-08-15,IOS,RMG,Statics,5384.971364,242,51.9042608,0.47682075,0.285796659,622.4168773,3,U.S.
2024-08-15,IOS,Sportsbetting,Statics,23515.21659,2134,11.43082591,0.913243333,0.299659579,85.50478976,3,U.S.
2024-08-15,IOS,Sportsbetting,Video,30032.45342,1230,59.1252088,32.3019627,0.670071728,251.8872934,3,U.S.
2024-08-16,IOS,Sportsbetting,Playables,1533.596508,78,19.6614937,29.16802671,0.041258853,,1,U.S.
2024-08-16,IOS,RMG,Playables,231.2000637,2,115.6000319,101.0489789,0.029063698,,1,U.S.
2024-08-16,ANDROID,RMG,Statics,940.714898,72,13.91421912,1.123790274,0.062275604,,3,U.S.
2024-08-16,ANDROID,Sportsbetting,Statics,2962.689063,46,64.81918401,2.172547514,0.541859818,574.7048156,2,U.S.
2024-08-16,ANDROID,Sportsbetting,Video,10712.45013,148,72.3814198,62.29037849,0.889724362,1785.408355,1,U.S.
2024-08-16,ANDROID,RMG,Video,18905.20317,990,18.70698608,51.53513936,0.953293297,473.1704551,4,U.S.
2024-08-16,IOS,RMG,Video,32708.27976,822,63.3379227,28.28408757,0.757347444,959.4713563,4,U.S.
2024-08-16,IOS,RMG,Statics,7328.26691,320,49.85390531,0.485815345,0.313848843,341.36794,3,U.S.
2024-08-16,IOS,Sportsbetting,Statics,45516.55616,3282,12.17431294,1.166828238,0.429406129,55.75466243,3,U.S.
2024-08-16,IOS,Sportsbetting,Video,23338.77946,240,52.68404442,30.33464894,0.55684092,323.579513,3,U.S.
2024-08-17,ANDROID,Sportsbetting,Playables,288.1852169,2,144.0926085,37.53389124,0.053219444,,1,U.S.
2024-08-17,IOS,Sportsbetting,Playables,10211.21208,192,53.18339625,34.14846995,0.125761825,510.560604,1,U.S.
2024-08-17,ANDROID,RMG,Statics,832.5496144,48,19.55355675,1.106440492,0.052121479,161.1671899,3,U.S.
2024-08-17,ANDROID,Sportsbetting,Statics,6417.481429,66,124.8613923,3.160137458,0.52440975,854.4751693,2,U.S.
2024-08-17,ANDROID,Sportsbetting,Video,11357.77973,156,72.80628031,62.84530022,0.897961056,709.861233,1,U.S.
2024-08-17,ANDROID,RMG,Video,20161.04929,1038,20.43210949,55.34249239,0.960908891,416.8240616,4,U.S.
2024-08-17,IOS,RMG,Video,35443.12977,766,77.62741535,28.82693478,0.754829426,925.0823358,4,U.S.
2024-08-17,IOS,RMG,Statics,7470.598081,326,66.42410985,0.485501718,0.316510048,227.1727679,3,U.S.
2024-08-17,IOS,Sportsbetting,Statics,84648.92835,3684,17.7509788,1.712473131,0.429770453,83.05921772,3,U.S.
2024-08-17,IOS,Sportsbetting,Video,24982.86744,310,73.95141235,31.51890159,0.792463408,250.0771808,2,U.S.
2024-08-18,IOS,Sportsbetting,Playables,1666.673865,70,23.80962665,32.54968099,0.037678261,166.6673865,1,U.S.
2024-08-18,IOS,RMG,Playables,245.6769869,2,122.8384934,94.85597948,0.027916112,,1,U.S.
2024-08-18,ANDROID,RMG,Statics,696.7585582,46,16.23213459,1.112130191,0.043977471,,3,U.S.
2024-08-18,ANDROID,Sportsbetting,Statics,2660.421751,38,70.75966752,2.179465426,0.309263795,814.9812727,2,U.S.
2024-08-18,ANDROID,Sportsbetting,Video,13572.0794,162,73.29934272,51.60688843,0.676406001,1091.271177,2,U.S.
2024-08-18,ANDROID,RMG,Video,18776.00885,918,19.9769441,53.83986293,0.967016897,737.6411084,4,U.S.
2024-08-18,IOS,RMG,Video,34443.92991,694,61.88205074,30.29015359,0.787486352,684.7934649,4,U.S.
2024-08-18,IOS,RMG,Statics,5694.361991,202,89.24295756,0.448885888,0.27404616,626.4495059,3,U.S.
2024-08-18,IOS,Sportsbetting,Statics,43917.10209,3008,14.18929234,1.131232563,0.364642604,88.24428559,3,U.S.
2024-08-18,IOS,Sportsbetting,Video,37375.92979,1008,57.33582331,30.07752862,0.622797975,220.1732999,3,U.S.
2024-08-19,IOS,Sportsbetting,Playables,4874.511054,288,16.92538561,24.52115346,0.230899618,49.73990872,1,U.S.
