date,os,grouped_category,MAU,DAU,country
2024-02-21,IOS,RMG,4766774,1009095,U.S.
2024-02-21,ANDROID,Sportsbetting,3482227,599720,U.S.
2024-02-21,IOS,Sportsbetting,13673467,1682646,U.S.
2024-02-22,ANDROID,RMG,4465194,776008,U.S.
2024-02-22,IOS,RMG,4766774,1032522,U.S.
2024-02-22,ANDROID,Sportsbetting,3482227,659931,U.S.
2024-02-22,IOS,Sportsbetting,13673467,1810816,U.S.
2024-02-23,ANDROID,RMG,4465194,724089,U.S.
2024-02-23,IOS,RMG,4766774,943095,U.S.
2024-02-23,ANDROID,Sportsbetting,3482227,639023,U.S.
2024-02-23,IOS,Sportsbetting,13673467,1919792,U.S.
2024-02-24,ANDROID,RMG,4465194,782077,U.S.
2024-02-24,IOS,RMG,4766774,1108535,U.S.
2024-02-24,ANDROID,Sportsbetting,3482227,717701,U.S.
2024-02-24,IOS,Sportsbetting,13673467,2082806,U.S.
2024-02-25,ANDROID,RMG,4465194,726259,U.S.
2024-02-25,IOS,RMG,4766774,1152630,U.S.
2024-02-25,ANDROID,Sportsbetting,3482227,892678,U.S.
2024-02-25,IOS,Sportsbetting,13673467,2307928,U.S.
2024-02-26,ANDROID,RMG,4465194,713519,U.S.
2024-02-26,IOS,RMG,4766774,979675,U.S.
2024-02-26,ANDROID,Sportsbetting,3482227,725643,U.S.
2024-02-26,IOS,Sportsbetting,13673467,1910052,U.S.
2024-02-27,ANDROID,RMG,4465194,733648,U.S.
2024-02-27,IOS,RMG,4766774,1010702,U.S.
2024-02-27,ANDROID,Sportsbetting,3482227,641933,U.S.
2024-02-27,IOS,Sportsbetting,13673467,1707341,U.S.
2024-02-28,ANDROID,RMG,4465194,741711,U.S.
2024-02-28,IOS,RMG,4766774,1124094,U.S.
2024-02-28,ANDROID,Sportsbetting,3482227,604753,U.S.
2024-02-28,IOS,Sportsbetting,13673467,1673100,U.S.
2024-02-29,ANDROID,RMG,4465194,748720,U.S.
2024-02-29,IOS,RMG,4766774,1141057,U.S.
2024-02-29,ANDROID,Sportsbetting,3482227,655951,U.S.
2024-02-29,IOS,Sportsbetting,13673467,1817752,U.S.
2024-03-01,IOS,RMG,6174160,1052526,U.S.
2024-03-01,ANDROID,RMG,4675006,694340,U.S.
2024-03-01,IOS,Sportsbetting,12384182,1886982,U.S.
2024-03-01,ANDROID,Sportsbetting,2992123,642201,U.S.
2024-03-02,IOS,RMG,6174160,1234351,U.S.
2024-03-02,ANDROID,RMG,4675006,764541,U.S.
2024-03-02,IOS,Sportsbetting,12384182,1958784,U.S.
2024-03-02,ANDROID,Sportsbetting,2992123,721118,U.S.
2024-03-03,IOS,RMG,6174160,1183121,U.S.
2024-03-03,ANDROID,RMG,4675006,778687,U.S.
2024-03-03,IOS,Sportsbetting,12384182,1903801,U.S.
2024-03-03,ANDROID,Sportsbetting,2992123,852135,U.S.
2024-03-04,IOS,RMG,6174160,982843,U.S.
2024-03-04,ANDROID,RMG,4675006,762451,U.S.
2024-03-04,IOS,Sportsbetting,12384182,1758099,U.S.
2024-03-04,ANDROID,Sportsbetting,2992123,704820,U.S.
2024-03-05,IOS,RMG,6174160,1041364,U.S.
2024-03-05,ANDROID,RMG,4675006,783946,U.S.
2024-03-05,IOS,Sportsbetting,12384182,1567820,U.S.
2024-03-05,ANDROID,Sportsbetting,2992123,630800,U.S.
2024-03-06,IOS,RMG,6174160,1143252,U.S.
